1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,target
-1.496277,0.021121128,-1.8427213,1.2627777,-1.9832781,-0.080368299,0.38363785,-0.22056778,2.1759695,0.26103297,0.53564569,0.56942665,-1.4602179,-0.43637554,-1.9491671,-1.391207,0.71893537,-1.5389507,-0.77936406,1.2482044,1
0.32186455,1.3646622,0.4962219,1.2671037,1.0591621,1.4980455,-0.039270746,0.68524734,2.1898507,-0.53748751,1.8145717,-0.021085888,1.0915142,0.52268886,0.15342876,0.95862835,1.0019953,-0.16604784,-1.0176726,0.83826219,1
-1.1946992,0.052606131,1.7051346,-0.2458833,-0.12831629,-0.17901916,0.45228833,-0.92227354,-0.34620796,-1.2415948,1.1313297,-1.3496928,-0.22997972,-0.022946549,-0.97276108,0.76356551,-1.0425803,-1.0926239,-1.7634186,0.52718945,0
0.57047248,0.58757976,0.76370326,2.1910217,-0.68488692,0.55364619,0.034431542,0.1742443,0.3624638,1.7094352,0.37095339,0.56840756,0.41381315,-0.48362457,0.48590271,0.51892614,0.4711551,0.98541033,-0.15781733,0.37055452,1
0.56124427,0.94450027,-0.21868784,0.17300001,-0.051607681,-1.8039268,1.2082555,1.6335624,-1.1676645,0.89063742,1.0978837,1.0909194,2.3838249,1.1758158,-0.65752379,1.7711276,-1.2602906,0.011433572,0.93603521,0.98382006,1
-0.1769201,1.4587553,-1.1252343,-1.3434846,0.96038038,0.6081782,-0.52631928,-0.51104515,-0.55141228,-0.1699277,-1.2758791,-0.85905041,0.99998057,1.1621863,-0.32357504,-0.93723415,0.15930477,0.40447983,0.21551431,0.96514471,0
0.88700002,0.093862342,1.9555877,0.83110058,1.0303394,0.17822485,-0.40660944,0.49135256,0.57049915,-0.93945444,1.2287674,1.7894548,0.80811195,-0.48625961,1.7505389,0.9526977,0.1482456,1.1013793,1.3388114,1.4074026,1
-0.45201299,-1.3861137,-0.33632073,1.1324462,0.68173022,-0.0146924,-0.8822012,-1.4311789,1.4352431,-1.1547054,-1.6558406,-1.1961817,0.30050783,-0.59157042,-0.65632552,-2.0485826,1.981783,-1.2483046,-1.4113678,-1.1617396,0
-0.1635392,-0.039315601,-0.17275763,0.13148905,0.12370021,-0.75347777,-1.5646465,-1.5833033,-0.13935983,-0.99946046,0.29363773,0.24415374,-2.4682925,1.2471437,-1.2502989,0.56831734,0.012153824,0.52433858,-0.26156133,-0.64487186,0
-1.0106887,2.3442258,-0.22826047,-0.23925627,0.10089742,0.30555754,-1.0867093,0.66545657,-0.37616213,-0.52445868,-0.78823755,-0.61122785,-0.13010798,0.56357744,-1.091482,0.60325259,1.2488616,1.2718954,-0.82036634,-0.19995911,1
0.78558201,-0.63327837,-0.10805033,-0.45776407,-0.45375778,-1.2372324,-1.7622083,-0.6111846,-1.9812672,-0.18469982,-0.60949609,-1.541651,-0.48169726,-2.4308297,-0.24319875,-1.1119104,-0.056668949,-0.94191844,-1.4565895,-1.0809962,0
0.44330777,-0.69217704,-0.97087561,1.234981,1.8882717,0.22718491,0.38039026,0.83563892,0.4318698,-0.45665371,1.1759244,1.345505,0.90659401,0.76256853,0.33123366,-0.21035867,0.87239278,-0.055144574,1.1842503,0.22225027,1
-0.75672842,-0.18298855,-0.45827971,-1.0569577,0.57756705,1.6655693,-0.03764695,1.5223876,0.99871589,-0.047988858,0.89847636,-0.85367706,0.62096825,1.1458308,-1.2008012,-0.22703863,1.0637804,-0.65778535,0.1481862,1.015678,0
-1.0332055,0.97815665,0.7387592,-1.2679181,-2.1993574,-1.3279364,-0.54111386,0.33220562,-0.68985898,-0.81953415,-0.69234077,-0.17644979,-0.45168015,0.20666555,-1.5667345,-0.31673973,-0.98317153,0.30814053,-1.0522539,-0.45866764,1
-1.8755564,-0.39496947,0.09407942,-1.4442706,-0.80683627,-2.5497456,-1.3374053,-1.1668765,-0.15461088,-1.1788363,-1.6241167,1.1818958,-0.75435266,-0.75966792,-0.069080837,-1.2253341,0.019465672,-1.1755752,0.4010794,0.000160082,1
-1.1757814,0.32828086,0.20830666,-0.79298117,1.4671497,-1.0357289,0.91687436,-1.7266724,-0.18109475,-2.1788448,-0.36413446,-0.062312446,-0.89702657,-1.6161474,-1.2150882,0.35675988,-0.47700883,0.52949477,-0.94750089,-0.74154426,1
-0.60317104,-1.1906896,-0.18435524,1.4678474,-0.4049598,1.5496546,-0.16042396,0.22896531,-0.44109327,0.19056718,2.2756557,-0.41204336,0.53805062,0.29662043,1.4705123,0.57952998,-0.73109556,-1.2530989,0.80055343,0.61525654,0
