1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,target
0.47009379,0.65605236,-1.0879386,0.034192107,1.3818291,1.6165331,1.3683052,0.34407159,1.0088003,0.12493063,-0.76784163,-0.59083958,-0.6229811,-1.368453,-0.14249679,-0.25432597,-0.76950388,-1.3594289,-0.31025975,0.3076747,0.88397324,0
-0.62877431,-1.0617746,0.81446699,0.43695096,0.38676953,0.5306475,-0.36800059,0.68770104,0.57591981,1.9270784,2.0983837,1.7960197,0.11570199,0.88140246,0.10517898,-0.8949678,-1.2485605,-0.71532491,0.19920894,0.31692251,1.1547683,0
-0.38128149,-0.74857964,1.3447836,1.2424687,0.92898763,0.77318034,1.3435008,1.2604168,-1.0954798,-0.40396056,-0.83890506,-0.16768447,-0.99232264,0.1371321,0.035829767,-0.7016707,0.54191365,-0.32603129,1.0176996,-0.43215025,-0.098912394,1
-0.28228437,-1.0048301,-0.71755879,-0.77839154,1.3758707,0.20543303,0.6539394,0.4643419,0.022794764,0.16410775,0.96136869,-0.35281483,1.0784119,-0.69236006,-1.1530139,-0.76794399,-1.2425723,-1.7204103,-1.9138333,-1.0517536,0.653296,1
-0.41098063,0.15304225,0.33465672,0.71958874,1.4592888,1.8204812,1.0855354,1.4551401,0.98475136,-0.077484518,-0.24670975,-0.4850508,-0.54426897,-0.95370691,-1.3561081,-1.1434927,-0.90124445,-1.3098824,0.58339845,-0.33042432,0.24208874,1
0.4007958,-0.036772886,1.2690241,0.63479741,1.2805356,1.0653222,0.45550445,0.65906525,-0.58444034,-0.72390708,-1.602837,-1.9660937,-0.45344727,-0.15262201,-0.16231085,-0.36478146,0.32633817,0.31099464,-0.36872337,0.7793131,-0.99153302,1
0.49979293,-1.4414049,1.1427582,-0.21311596,-0.71554198,-0.47806859,-1.0079533,-0.45200331,-0.25977999,-0.59331666,0.36917337,0.24885884,0.28523581,0.80754357,0.44697154,0.85022891,0.70958347,-0.021674453,0.38295175,-0.18245933,0.84385545,1
-0.21298638,0.23845906,0.073707275,0.63479741,1.8585044,2.0575019,0.85733522,0.41852464,0.75027444,1.032534,-1.5258516,-2.2041184,-0.83489838,-1.9650056,-1.2273167,-0.9612411,0.00896315,-0.8002617,-0.86148817,-0.61710648,0.92409102,0
1.5194633,-0.24556953,-1.1131918,-1.0539634,-0.98367181,-0.86942839,-0.62100515,-0.96744748,-1.1916754,0.45793619,0.20335869,0.54638978,1.1873979,1.0234388,1.1503707,0.027335524,1.0868406,0.62950761,0.90912433,0.14121409,1.2450333,0
0.23250069,0.90281203,-0.97850823,0.61359957,-0.024362872,-0.60484712,-0.25390049,-0.31455153,-1.0654186,-0.93285174,0.33956361,-0.67679296,0.32156449,0.8643581,1.0314864,0.25929205,0.2005858,1.4080949,-0.042997487,0.52962218,0.86391434,0
-0.54957661,-0.53978299,-0.51553341,-0.55934725,-0.27461738,-0.78674674,-0.49202243,0.22952844,-0.29585336,0.81705983,1.2041688,2.8472957,1.0299737,0.21667244,0.63025161,-0.93915,0.074833436,-0.36142162,0.14909727,-1.4031705,0.31229486,0
0.014707013,1.7379986,-0.77648285,0.34509367,-0.91812896,-1.249764,0.058634551,-1.0361734,0.49776083,0.84317792,0.71856861,2.1266097,0.78172773,0.76209195,-0.98954791,-0.98333219,0.10477448,-1.0409159,-0.20168446,-0.43215025,-0.12900073,0
0.18300213,-1.9159427,0.090542724,0.08365372,0.43443706,-0.42294749,-0.3084701,0.069168027,-1.7868861,-0.8871451,-0.67901233,0.47366,-0.090160509,0.9495799,0.79867113,0.53543077,0.39819666,-0.8214959,0.70867763,-0.45064587,0.95417935,0
-1.2920551,-0.20760651,0.77237837,1.4403151,0.51189678,0.39835687,0.237226,0.87097008,0.41358963,-0.2276635,-0.81521725,0.4802718,-1.1800208,-1.1696021,-1.1084323,-1.3367898,-1.2066431,-0.14907964,-0.9199518,-0.025246526,-0.018676833,1
